                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31718,                0.22777,                0.92375,                0.98072,                0.96207,                 0.9846,                0.88399,                0.54346,                0.28259,                0.92988,               0.006535,               0.006535,               0.006535
                     37,                0.30891,                0.22562,                0.92184,                0.97138,                 0.9719,                0.98455,                0.87824,                0.54697,                0.29831,                0.93864,               0.006436,               0.006436,               0.006436
                     38,                0.31812,                0.23114,                0.92694,                0.97896,                0.96672,                0.98422,                0.87975,                0.54492,                0.29877,                0.93812,               0.006337,               0.006337,               0.006337
                     39,                0.30854,                0.22477,                0.91975,                0.97513,                0.97123,                 0.9854,                0.88211,                0.53427,                0.28695,                0.92963,               0.006238,               0.006238,               0.006238
                     40,                0.30884,                0.22187,                0.92216,                0.97421,                0.97291,                0.98655,                 0.8861,                0.53467,                0.29571,                0.91902,               0.006139,               0.006139,               0.006139
                     41,                0.30522,                0.22376,                0.91892,                0.97742,                0.96672,                0.98392,                0.87868,                0.53003,                0.29098,                0.91892,                0.00604,                0.00604,                0.00604
                     42,                0.30538,                 0.2212,                0.91902,                0.97358,                0.96975,                 0.9848,                0.88075,                0.52477,                0.28849,                0.90273,               0.005941,               0.005941,               0.005941
                     43,                0.29981,                0.21507,                0.91853,                0.97392,                0.96672,                0.98382,                0.88263,                0.53715,                0.29887,                 0.9342,               0.005842,               0.005842,               0.005842
                     44,                0.30197,                0.21529,                0.91769,                0.97573,                0.96461,                0.98588,                0.88118,                0.53663,                0.29535,                0.92937,               0.005743,               0.005743,               0.005743
                     45,                  0.298,                0.21147,                0.91807,                0.97509,                0.96948,                0.98507,                0.88117,                0.54251,                0.29645,                0.94012,               0.005644,               0.005644,               0.005644
                     46,                0.29932,                0.21303,                0.91387,                 0.9742,                0.96446,                0.98425,                0.88522,                0.51941,                0.28972,                0.90805,               0.005545,               0.005545,               0.005545
                     47,                0.30086,                0.21422,                0.91668,                0.97484,                0.96904,                0.98506,                0.88794,                0.52542,                0.29987,                 0.9292,               0.005446,               0.005446,               0.005446
                     48,                0.29521,                0.21278,                0.91546,                0.98263,                0.96355,                0.98424,                0.88152,                0.53506,                0.28615,                0.93153,               0.005347,               0.005347,               0.005347
                     49,                0.29217,                0.20953,                0.91175,                0.97859,                0.97214,                0.98648,                0.89224,                0.53566,                0.28426,                0.92344,               0.005248,               0.005248,               0.005248
                     50,                0.28918,                0.20656,                 0.9138,                 0.9779,                 0.9644,                0.98542,                0.88775,                0.53617,                0.27776,                0.92211,               0.005149,               0.005149,               0.005149
                     51,                0.28918,                0.20732,                0.91267,                0.97294,                0.96749,                0.98459,                0.88812,                 0.5347,                0.28787,                0.93078,                0.00505,                0.00505,                0.00505
                     52,                0.29134,                0.20331,                0.91218,                0.97814,                0.96958,                0.98626,                0.89016,                0.52344,                0.27987,                 0.9234,               0.004951,               0.004951,               0.004951
                     53,                0.28841,                  0.204,                0.91171,                0.97583,                0.96863,                0.98597,                0.89139,                0.52378,                0.28486,                0.91388,               0.004852,               0.004852,               0.004852
                     54,                0.28535,                0.20094,                 0.9115,                0.97538,                0.97059,                0.98616,                0.88955,                0.52621,                0.28218,                0.92391,               0.004753,               0.004753,               0.004753
                     55,                0.28528,                0.19731,                0.91004,                0.97803,                0.96479,                0.98611,                0.89353,                0.51577,                0.27999,                0.91206,               0.004654,               0.004654,               0.004654
                     56,                0.28166,                0.19885,                0.90973,                0.98041,                0.96816,                 0.9867,                0.88875,                 0.5269,                0.28299,                0.92343,               0.004555,               0.004555,               0.004555
                     57,                0.27998,                0.19463,                 0.9084,                0.97894,                0.96827,                0.98553,                0.88974,                0.52326,                 0.2846,                0.92205,               0.004456,               0.004456,               0.004456
